,budget,country,genre,gross,rating,score,votes,ROI,star_names,studio_names
130,30000000.0,USA,Comedy,148734225.0,R,7.0,314880,1,Not-Famous,Low-Studio
131,75000000.0,USA,Others,193595521.0,PG,6.9,295387,1,Not-Famous,Low-Studio
132,175000000.0,USA,Others,293004164.0,PG,8.3,746404,1,Not-Famous,Low-Studio
133,48000000.0,USA,Action,165500000.0,PG,6.9,154821,1,Not-Famous,Low-Studio
134,110000000.0,USA,Action,227471070.0,PG,8.1,539669,1,Not-Famous,Low-Studio
135,20000000.0,USA,Others,137400141.0,R,7.5,344581,1,Not-Famous,Low-Studio
136,59000000.0,USA,Others,176387405.0,PG,7.6,358924,1,Not-Famous,Low-Studio
137,65000000.0,USA,Others,182207973.0,PG,7.4,211874,1,Not-Famous,Low-Studio
138,43000000.0,USA,Action,159582188.0,R,6.6,143301,1,Not-Famous,Low-Studio
139,42000000.0,USA,Drama,158348367.0,R,6.8,95878,1,Not-Famous,Low-Studio
140,80000000.0,USA,Others,195330621.0,PG,6.9,212964,1,Not-Famous,Low-Studio
141,30000000.0,USA,Comedy,145103595.0,R,6.4,212636,1,Not-Famous,Low-Studio
142,15000000.0,USA,Drama,130096601.0,R,8.4,903192,1,Not-Famous,Low-Studio
143,33000000.0,non-USA,Drama,148095302.0,R,8.2,611969,1,Not-Famous,Low-Studio
144,12000000.0,USA,Drama,124872350.0,PG,7.8,281274,1,Not-Famous,Low-Studio
145,70000000.0,USA,Comedy,182811707.0,PG,6.4,169612,1,Not-Famous,Low-Studio
146,58000000.0,USA,Others,170742341.0,PG,8.2,684340,1,Not-Famous,Low-Studio
147,18000000.0,USA,Others,130724172.0,PG,6.3,117257,1,Not-Famous,Low-Studio
148,52000000.0,USA,Others,164615351.0,PG,8.1,613948,1,Not-Famous,Low-Studio
149,19000000.0,USA,Others,130742922.0,R,8.6,995136,1,Not-Famous,Low-Studio
150,180000000.0,USA,Others,291709845.0,PG,6.9,311581,1,Not-Famous,Low-Studio
151,55000000.0,USA,Comedy,166244045.0,PG,7.0,276073,1,Not-Famous,Low-Studio
152,16000000.0,USA,Comedy,127175354.0,PG,7.3,308324,1,Not-Famous,Low-Studio
153,21000000.0,USA,Comedy,132092958.0,R,7.8,577866,1,Not-Famous,Low-Studio
154,17000000.0,non-USA,Action,128078872.0,PG,7.9,228725,1,Not-Famous,Low-Studio
155,13000000.0,USA,Others,123922370.0,R,7.3,107336,1,Not-Famous,Low-Studio
156,18000000.0,USA,Comedy,128505958.0,R,7.3,313819,1,Not-Famous,Low-Studio
157,40000000.0,USA,Others,150117807.0,R,7.3,387616,1,Not-Famous,Low-Studio
158,25000000.0,USA,Action,134938200.0,PG,6.2,85314,1,Not-Famous,Low-Studio
159,35000000.0,USA,Action,144731527.0,R,6.7,136869,1,Not-Famous,Low-Studio
160,70000000.0,USA,Comedy,179495555.0,PG,6.6,260946,1,Not-Famous,Low-Studio
161,31000000.0,USA,Comedy,139610000.0,PG,6.3,71098,1,Not-Famous,Low-Studio
162,55000000.0,USA,Others,163566459.0,PG,8.0,370657,1,Not-Famous,Low-Studio
163,63000000.0,USA,Action,171479930.0,R,8.7,1344273,1,Not-Famous,Low-Studio
164,33000000.0,USA,Action,141153686.0,PG,6.9,202757,1,Not-Famous,Low-Studio
165,75000000.0,USA,Others,183135014.0,PG,7.4,274418,1,Not-Famous,Low-Studio
166,15000.0,USA,Others,107918810.0,R,6.3,196418,1,Not-Famous,Low-Studio
167,150000000.0,USA,Action,257730019.0,PG,8.0,535577,1,Not-Famous,Low-Studio
168,90000000.0,USA,Others,196573705.0,PG,7.0,183135,1,Not-Famous,Low-Studio
169,38000000.0,USA,Action,144533925.0,PG,6.7,296856,1,Not-Famous,Low-Studio
170,150000000.0,USA,Drama,256386216.0,PG,7.2,582143,1,Not-Famous,Low-Studio
171,95000000.0,USA,Drama,201151353.0,PG,7.0,122076,1,Not-Famous,Low-Studio
172,21000000.0,USA,Comedy,126533006.0,PG,6.8,132818,1,Not-Famous,Low-Studio
173,200000000.0,non-USA,Action,304360277.0,PG,7.8,558037,1,Not-Famous,Low-Studio
174,11000000.0,USA,Action,115103979.0,PG,5.9,58596,1,Not-Famous,Low-Studio
175,98000000.0,USA,Action,202019785.0,PG,6.3,265830,1,Not-Famous,Low-Studio
176,50000000.0,USA,Comedy,153952592.0,R,7.3,204940,1,Not-Famous,Low-Studio
177,102000000.0,USA,Action,204843350.0,R,8.5,816932,1,Not-Famous,Low-Studio
178,132000000.0,USA,Others,234280354.0,PG,6.5,359393,1,Not-Famous,Low-Studio
179,18000000.0,USA,Comedy,119938730.0,PG,6.9,287457,1,Not-Famous,Low-Studio
180,20000000.0,USA,Comedy,121697350.0,PG,7.0,123056,1,Not-Famous,Low-Studio
181,20000000.0,USA,Comedy,121463226.0,R,7.6,452681,1,Not-Famous,Low-Studio
182,40000000.0,USA,Drama,141340178.0,R,7.7,196827,1,Not-Famous,Low-Studio
183,75000000.0,USA,Action,176241941.0,PG,7.8,380964,1,Not-Famous,Low-Studio
